instruction,human_annotations,concept_set,id
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""catch(verb), dog(noun), frisbee(noun), throw(verb)""
- Sentence: ",[],"['catch_V', 'dog_N', 'frisbee_N', 'throw_V']",468fa6fbb21bc3b0d8c156a628cbf222
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""food(noun), front(noun), sit(verb), table(noun)""
- Sentence: ",[],"['food_N', 'front_N', 'sit_V', 'table_N']",32d6554713b0a813e8cdf8f01e89eb5c
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""demonstrate(verb), machine(noun), sew(verb), use(verb)""
- Sentence: ",[],"['demonstrate_V', 'machine_N', 'sew_V', 'use_V']",f8efb2bbd593ee6e943cfa79aa347e2e
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""car(noun), drive(verb), road(noun), water(noun)""
- Sentence: ",[],"['car_N', 'drive_V', 'road_N', 'water_N']",de5f30479745102be44f5f1f572730bc
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""background(noun), decorate(verb), music(noun), tree(noun)""
- Sentence: ",[],"['background_N', 'decorate_V', 'music_N', 'tree_N']",93f2fe7880ba3dfbe9d3a56a87ef8ccf
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""board(noun), boat(noun), ride(verb), water(noun)""
- Sentence: ",[],"['board_N', 'boat_N', 'ride_V', 'water_N']",71a52dd82dd8e0c9ebad60e65b1af968
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""audience(noun), dance(verb), front(noun), music(noun)""
- Sentence: ",[],"['audience_N', 'dance_V', 'front_N', 'music_N']",ff5e6da0632cded16568dd20d2b198e4
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""cellphone(noun), street(noun), talk(verb), walk(verb)""
- Sentence: ",[],"['cellphone_N', 'street_N', 'talk_V', 'walk_V']",c9b19e33c91dfd703462851702ab2411
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""beach(noun), dog(noun), sand(noun), walk(verb)""
- Sentence: ",[],"['beach_N', 'dog_N', 'sand_N', 'walk_V']",cf4be4c5e5a95de8d86b3898161a1543
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""fabric(noun), machine(noun), piece(noun), sew(verb)""
- Sentence: ",[],"['fabric_N', 'machine_N', 'piece_N', 'sew_V']",9cfcd2784b410c2327b55250e4b78a5b
"# Instruction

Given several concepts (i.e., nouns or verbs), write a short and simple sentence that contains *all* the required words.
The sentence should describe a common scene in daily life, and the concepts should be used in a natural way.

# Examples

## Example 1
- Concepts: ""dog(noun), frisbee(noun), catch(verb), throw(verb)""
- Sentence: The dog catches the frisbee when the boy throws it into the air.

## Example 2
- Concepts: ""apple(noun), place(verb), tree(noun), pick(verb)""
- Sentence: A girl picks some apples from a tree and places them into her basket.

# Your Task 

- Concepts: ""bathtub(noun), leg(noun), shave(verb), stand(verb)""
- Sentence: ",[],"['bathtub_N', 'leg_N', 'shave_V', 'stand_V']",2afd72ea3c1bf19b4c5d5be6d7f750a2
